year,to_country,performer,song,performer_orig,song_orig,place_final,points_final
1988,Ireland,Jump the Gun,Take Him Home,Home,Take Him  Jump the Gun,8.0,79.0
1988,Netherlands,Gerard Joling,Shangri-La,Shangri-La, Gerard Joling,9.0,70.0
1988,France,Gérard Lenorman,Chanteur de charme,charme,Chanteur de  Gérard Lenorman,10.0,64.0
1988,Spain,La Década,La chica que yo quiero (Made in Spain),Spain),La chica que yo quiero (Made in  La Década,11.0,58.0
1988,Sweden,Tommy Körberg,Stad i ljus,ljus,Stad i  Tommy Körberg,12.0,52.0
1988,Italy,Luca Barbarossa,Ti scrivo,scrivo,Ti  Luca Barbarossa,12.0,52.0
1988,Germany,Maxi & Chris Garden,Lied für einen Freund,Freund,Lied für einen  Maxi & Chris Garden,14.0,48.0
1988,Turkey,MFÖ,Sufi,Sufi, MFÖ,15.0,37.0
1988,Iceland,Beathoven,Sókrates,Sókrates, Beathoven,16.0,20.0
1988,Greece,Aphroditi Fryda,Kloun,Kloun, Aphroditi Fryda,17.0,10.0
1988,Belgium,Reynaert,Laissez briller le soleil,soleil,Laissez briller le  Reynaert,18.0,5.0
1988,Portugal,Dora,Voltarei,Voltarei, Dora,18.0,5.0
1988,Finland,Boulevard,Nauravat silmät muistetaan,muistetaan,Nauravat silmät  Boulevard,20.0,3.0
1988,Austria,Wilfried,", Mona Lisa",Lisa,", Mona  Wilfried",21.0,0.0
1989,Yugoslavia,Riva,Rock Me,Me,Rock  Riva,1.0,137.0
1989,United Kingdom,Live Report,Why Do I Always Get it Wrong?,Wrong?,Why Do I Always Get it  Live Report,2.0,130.0
1989,Denmark,Birthe Kjær,Vi maler byen rød,rød,Vi maler byen  Birthe Kjær,3.0,111.0
1989,Sweden,Tommy Nilsson,En dag,dag,En  Tommy Nilsson,4.0,110.0
1989,Austria,Thomas Forstner,Nur ein Lied,Lied,Nur ein  Thomas Forstner,5.0,97.0
1989,Spain,Nina,Nacida para amar,amar,Nacida para  Nina,6.0,88.0
1989,Finland,Anneli Saaristo,La dolce vita,vita,La dolce  Anneli Saaristo,7.0,76.0
1989,France,Nathalie Pâque,J'ai volé la vie,vie,J'ai volé la  Nathalie Pâque,8.0,60.0
1989,Italy,Anna Oxa & Fausto Leali,Avrei voluto,voluto,Avrei  Anna Oxa & Fausto Leali,9.0,56.0
1989,Greece,Marianna,To diko sou asteri,asteri,To diko sou  Marianna,9.0,56.0
1989,Cyprus,Fanny Polymeri and Yiannis Savvidakis,Apopse as vrethoume,vrethoume,Apopse as  Fanny Polymeri and Yiannis Savvidakis,11.0,51.0
1989,Israel,Gili & Galit,Derech ha'melech,ha'melech,Derech  Gili & Galit,12.0,50.0
1989,Switzerland,Furbaz,Viver senza tei,tei,Viver senza  Furbaz,13.0,47.0
1989,Germany,Nino de Angelo,Flieger,Flieger, Nino de Angelo,14.0,46.0
1989,Netherlands,Justine Pelmelay,Blijf zoals je bent,bent,Blijf zoals je  Justine Pelmelay,15.0,45.0
1989,Portugal,Da Vinci,Conquistador,Conquistador, Da Vinci,16.0,39.0
1989,Norway,Britt Synnøve Johansen,Venners nærhet,nærhet,Venners  Britt Synnøve Johansen,17.0,30.0
1989,Ireland,Kiev Connolly and the Missing Passengers,The Real Me,Me,The Real  Kiev Connolly and the Missing Passengers,18.0,21.0
1989,Belgium,Ingeborg,Door de wind,wind,Door de  Ingeborg,19.0,13.0
1989,Luxembourg,Park Café,Monsieur,Monsieur, Park Café,20.0,8.0
1989,Turkey,Pan,Bana bana,bana,Bana  Pan,21.0,5.0
1989,Iceland,Daniel,Það sem enginn sér,sér,Það sem enginn  Daniel,22.0,0.0
1991,Sweden,Carola,Fångad av en stormvind,stormvind,Fångad av en  Carola,1.0,146.0
1991,France,Amina,C'est le dernier qui a parlé qui a raison,raison,C'est le dernier qui a parlé qui a  Amina,2.0,146.0
1991,Israel,Duo Datz,Kan,Kan, Duo Datz,3.0,139.0
1991,Spain,Sergio Dalma,Bailar Pegados,Pegados,Bailar  Sergio Dalma,4.0,119.0
1991,Switzerland,Sandra Simó,Canzone per te,te,Canzone per  Sandra Simó,5.0,118.0
1991,Malta,Paul Giordimaina & Georgina,Could It Be,Be,Could It  Paul Giordimaina & Georgina,6.0,106.0
1991,Italy,Peppino di Capri,Comme è ddoce 'o mare,mare,Comme è ddoce 'o  Peppino di Capri,7.0,89.0
1991,Portugal,Dulce,Lusitana paixão,paixão,Lusitana  Dulce,8.0,62.0
1991,Cyprus,Elena Patroclou,S.O.S.,S.O.S., Elena Patroclou,9.0,60.0
1991,Ireland,Kim Jackson,Could It Be That I'm In Love,Love,Could It Be That I'm In  Kim Jackson,10.0,47.0
1991,United Kingdom,Samantha Janus,A Message To Your Heart,Heart,A Message To Your  Samantha Janus,10.0,47.0
1991,Turkey,"İzel Çeliköz, Reyhan Karaca & Can Uğurluer",İki dakika,dakika,"İki  İzel Çeliköz, Reyhan Karaca & Can Uğurluer",12.0,44.0
1991,Greece,Sofia Vossou,I Anixi,Anixi,I  Sofia Vossou,13.0,36.0
1991,Luxembourg,Sarah Bray,Un baiser volé,volé,Un baiser  Sarah Bray,14.0,29.0
1991,Iceland,Stefán & Eyfi,Nina,Nina, Stefán & Eyfi,15.0,26.0
1991,Belgium,Clouseau,Geef Het Op,Op,Geef Het  Clouseau,16.0,23.0
1991,Norway,Just 4 Fun,Mrs. Thompson,Thompson,Mrs.  Just 4 Fun,17.0,14.0
1991,Germany,Atlantis 2000,Dieser Traum darf niemals sterben,sterben,Dieser Traum darf niemals  Atlantis 2000,18.0,10.0
1991,Denmark,Anders Frandsen,Lige der hvor hjertet slår,slår,Lige der hvor hjertet  Anders Frandsen,19.0,8.0
1991,Finland,Kaija,Hullu yö,yö,Hullu  Kaija,20.0,6.0
1991,Yugoslavia,Baby Doll,Brazil,Brazil, Baby Doll,21.0,1.0
1991,Austria,Thomas Forstner,Venedig im Regen,Regen,Venedig im  Thomas Forstner,22.0,0.0
1992,Ireland,Linda Martin,Why Me?,Me?,Why  Linda Martin,1.0,155.0
1992,United Kingdom,Michael Ball,One Step Out Of Time,Time,One Step Out Of  Michael Ball,2.0,139.0
1992,Malta,Mary Spiteri,Little Child,Child,Little  Mary Spiteri,3.0,123.0
1992,Italy,Mia Martini,Rapsodia,Rapsodia, Mia Martini,4.0,111.0
1992,Greece,Cleopatra,Olou Tou Kosmou tin Elpida,Elpida,Olou Tou Kosmou tin  Cleopatra,5.0,94.0
1992,Israel,Dafna,Ze rak sport,sport,Ze rak  Dafna,6.0,85.0
1992,Iceland,Heart 2 Heart,Nei eða já,já,Nei eða  Heart 2 Heart,7.0,80.0
1992,France,Kali,Monté la riviè,riviè,Monté la  Kali,8.0,73.0
1992,Netherlands,Humphrey Campbell,Wijs me de weg,weg,Wijs me de  Humphrey Campbell,9.0,67.0
1992,Austria,Tony Wegas,Zusammen geh'n,geh'n,Zusammen  Tony Wegas,10.0,63.0
1992,Cyprus,Evridiki,Teriazoume,Teriazoume, Evridiki,11.0,57.0
1992,Denmark,Kenny & Lotte,Alt det som ingen ser,ser,Alt det som ingen  Kenny & Lotte,12.0,47.0
1992,Yugoslavia,Extra Nena,Ljubim te pesmama,pesmama,Ljubim te  Extra Nena,13.0,44.0
1992,Spain,Serafin,Todo esto es la música,música,Todo esto es la  Serafin,14.0,37.0
1992,Switzerland,Daisy Auvray,Mister Music Man,Man,Mister Music  Daisy Auvray,15.0,32.0
1992,Germany,Wind,Träume sind für alle da,da,Träume sind für alle  Wind,16.0,27.0
1992,Portugal,Dina,Amor d'água fresca,fresca,Amor d'água  Dina,17.0,26.0
1992,Norway,Merethe Trøan,Visjoner,Visjoner, Merethe Trøan,18.0,23.0
1992,Turkey,Aylin Vatankoş,Yaz bitti,bitti,Yaz  Aylin Vatankoş,19.0,17.0
1992,Belgium,Morgane,"Nous, on veut des violons",violons,"Nous, on veut des  Morgane",20.0,11.0
1992,Luxembourg,Marion Welter and Kontinent,Sou fräi,fräi,Sou  Marion Welter and Kontinent,21.0,10.0
1992,Sweden,Christer Björkman,I morgon är en annan dag,dag,I morgon är en annan  Christer Björkman,22.0,9.0
1992,Finland,Pave,Yamma yamma,yamma,Yamma  Pave,23.0,4.0
1993,Ireland,Niamh Kavanagh,In Your Eyes,Eyes,In Your  Niamh Kavanagh,1.0,187.0
1993,United Kingdom,Sonia,Better The Devil You Know,Know,Better The Devil You  Sonia,2.0,164.0
1993,Switzerland,Annie Cotton,"Moi, tout simplement",simplement,"Moi, tout  Annie Cotton",3.0,148.0
1993,France,Patrick Fiori,Mama Corsica,Corsica,Mama  Patrick Fiori,4.0,121.0
1993,Norway,Silje Vige,Alle mine tankar,tankar,Alle mine  Silje Vige,5.0,120.0
1993,Netherlands,Ruth Jacott,Vrede,Vrede, Ruth Jacott,6.0,92.0
1993,Sweden,Arvingarna,Eloise,Eloise, Arvingarna,7.0,89.0
1993,Malta,William Mangion,This Time,Time,This  William Mangion,8.0,69.0
1993,Greece,Kaiti Garbi,"Ellada, hora tu fotos",fotos,"Ellada, hora tu  Kaiti Garbi",9.0,64.0
1993,Portugal,Anabela,A cidade até ser dia,dia,A cidade até ser  Anabela,10.0,60.0
1993,Spain,Eva Santamaria,Hombres,Hombres, Eva Santamaria,11.0,58.0
1993,Italy,Enrico Ruggeri,Sole d'Europa,d'Europa,Sole  Enrico Ruggeri,12.0,45.0
1993,Iceland,Inga,Þá veistu svarið,svarið,Þá veistu  Inga,13.0,42.0
1993,Austria,Tony Wegas,Maria Magdalena,Magdalena,Maria  Tony Wegas,14.0,32.0
1993,Croatia,Put,Don't Ever Cry,Cry,Don't Ever  Put,15.0,31.0
1993,Bosnia & Herzegovina,Fazla,Sva bol svijeta,svijeta,Sva bol  Fazla,16.0,27.0
1993,Finland,Katri-Helena,Tule luo,luo,Tule  Katri-Helena,17.0,20.0
1993,Germany,Münchener Freiheit,Viel zu weit,weit,Viel zu  Münchener Freiheit,18.0,18.0
1993,Cyprus,Kyriakos Zymboulakis & Demos Van Beke,Mi stamatas,stamatas,Mi  Kyriakos Zymboulakis & Demos Van Beke,19.0,17.0
1993,Luxembourg,Modern Times,Donne-moi une chance,chance,Donne-moi une  Modern Times,20.0,11.0
1993,Turkey,"Burak Aydos, Baybora & Serter Öztürk",Esmer yarim,yarim,"Esmer  Burak Aydos, Baybora & Serter Öztürk",21.0,10.0
1993,Denmark,Tommy Seebach Band,Under stjernerne på himlen,himlen,Under stjernerne på  Tommy Seebach Band,22.0,9.0
1993,Slovenia,1X Band,Tih deževen dan,dan,Tih deževen  1X Band,22.0,9.0
1993,Israel,Lakahat,Shiru,Shiru, Lakahat,24.0,4.0
1993,Belgium,Barbara Dex,Iemand als jij,jij,Iemand als  Barbara Dex,25.0,3.0
1994,Ireland,Paul Harrington & Charlie McGettigan,Rock 'n' Roll Kids,Kids,Rock 'n' Roll  Paul Harrington & Charlie McGettigan,1.0,226.0
1994,Poland,Edyta Górniak,To nie ja,ja,To nie  Edyta Górniak,2.0,166.0
1994,Germany,MeKaDo,Wir geben 'ne Party,Party,Wir geben 'ne  MeKaDo,3.0,128.0
1994,Hungary,Friderika Bayer,Kinek mondjam el vétkeimet,vétkeimet,Kinek mondjam el  Friderika Bayer,4.0,122.0
1994,Malta,Moira Stafrace & Christopher Scicluna,More Than Love,Love,More Than  Moira Stafrace & Christopher Scicluna,5.0,97.0
1994,Norway,Elisabeth Andreasson & Jan Werner Danielsen,Duett,Duett, Elisabeth Andreasson & Jan Werner Danielsen,6.0,76.0
1994,France,Nina Morato,Je suis un vrai garçon,garçon,Je suis un vrai  Nina Morato,7.0,74.0
1994,Portugal,Sara Tavares,Chamar a música,música,Chamar a  Sara Tavares,8.0,73.0
1994,Russia,Youddiph,Vechni stranik,stranik,Vechni  Youddiph,9.0,70.0
1994,United Kingdom,Frances Ruffelle,We Will Be Free (Lonely Symphony),Symphony),We Will Be Free (Lonely  Frances Ruffelle,10.0,63.0
1994,Cyprus,Evridiki,Ime Anthropos Ke Ego,Ego,Ime Anthropos Ke  Evridiki,11.0,51.0
1994,Iceland,Sigga,Nætur,Nætur, Sigga,12.0,49.0
1994,Sweden,Marie Bergman & Roger Pontare,Stjärnorna,Stjärnorna, Marie Bergman & Roger Pontare,13.0,48.0
1994,Greece,Costas Bigalis and the Sea Lovers,To Trehantiri,Trehantiri,To  Costas Bigalis and the Sea Lovers,14.0,44.0
1994,Bosnia & Herzegovina,Alma & Dejan,Ostani kraj mene,mene,Ostani kraj  Alma & Dejan,15.0,39.0
1994,Croatia,Tony Cetinski,Nek' ti bude ljubav sva,sva,Nek' ti bude ljubav  Tony Cetinski,16.0,27.0
1994,Austria,Petra Frey,Für den Frieden der Welt,Welt,Für den Frieden der  Petra Frey,17.0,19.0
1994,Spain,Alejandro Abad,Ella no es ella,ella,Ella no es  Alejandro Abad,18.0,17.0
1994,Switzerland,Duilio,Sto pregando,pregando,Sto  Duilio,19.0,15.0
1994,Slovakia,Martin Ďurinda & Tublatanka,Nekonečná pieseň,pieseň,Nekonečná  Martin Ďurinda & Tublatanka,19.0,15.0
1994,Romania,Dan Bittman,Dincolo de nori,nori,Dincolo de  Dan Bittman,21.0,14.0
1994,Finland,CatCat,Bye Bye Baby,Baby,Bye Bye  CatCat,22.0,11.0
1994,Netherlands,Willeke Alberti,Waar is de zon?,zon?,Waar is de  Willeke Alberti,23.0,4.0
1994,Estonia,Silvi Vrait,Nagu Merelaine,Merelaine,Nagu  Silvi Vrait,24.0,2.0
1994,Lithuania,Ovidijus Vyšniauskas,Lopšinė mylimai,mylimai,Lopšinė  Ovidijus Vyšniauskas,25.0,0.0
1995,Norway,Secret Garden,Nocturne,Nocturne, Secret Garden,1.0,148.0
1995,Spain,Anabel Conde,Vuelve conmigo,conmigo,Vuelve  Anabel Conde,2.0,119.0
1995,Sweden,Jan Johansen,Se på mig,mig,Se på  Jan Johansen,3.0,100.0
1995,France,Nathalie Santamaria,Il me donne rendez-vous,rendez-vous,Il me donne  Nathalie Santamaria,4.0,94.0
1995,Denmark,Aud Wilken,Fra Mols til Skagen,Skagen,Fra Mols til  Aud Wilken,5.0,92.0
1995,Croatia,Magazin & Lidija,Nostalgija,Nostalgija, Magazin & Lidija,6.0,91.0
1995,Slovenia,Darja Švajger,Prisluhni mi,mi,Prisluhni  Darja Švajger,7.0,84.0
1995,Israel,Liora,Amen,Amen, Liora,8.0,81.0
1995,Cyprus,Alexandros Panayi,Sti Fotia,Fotia,Sti  Alexandros Panayi,9.0,79.0
1995,United Kingdom,Love City,Love City Groove,Groove,Love City  Love City,10.0,76.0
1995,Malta,Mike Spiteri,Keep Me In Mind,Mind,Keep Me In  Mike Spiteri,10.0,76.0
1995,Greece,Elina Constantopoulou,Pia prosefhi,prosefhi,Pia  Elina Constantopoulou,12.0,68.0
1995,Austria,Stella Jones,Die Welt dreht sich verkehrt,verkehrt,Die Welt dreht sich  Stella Jones,13.0,67.0
1995,Ireland,Eddie Friel,Dreamin',Dreamin', Eddie Friel,14.0,44.0
1995,Iceland,Bó Halldórsson,Núna,Núna, Bó Halldórsson,15.0,31.0
1995,Turkey,Arzu Ece,Sev!,Sev!, Arzu Ece,16.0,21.0
1995,Russia,Philipp Kirkorov,Kolybelnaya Dlya Vulkana,Vulkana,Kolybelnaya Dlya  Philipp Kirkorov,17.0,17.0
1995,Poland,Justyna,Sama,Sama, Justyna,18.0,15.0
1995,Bosnia & Herzegovina,Davor Popović,Dvadeset i prvi vijek,vijek,Dvadeset i prvi  Davor Popović,19.0,14.0
1995,Belgium,Frédéric Etherlinck,La voix est libre,libre,La voix est  Frédéric Etherlinck,20.0,8.0
1995,Portugal,Tó Cruz,Baunilha e chocolate,chocolate,Baunilha e  Tó Cruz,21.0,5.0
1995,Hungary,Csaba Szigeti,Új név egy régi ház falán,falán,Új név egy régi ház  Csaba Szigeti,22.0,3.0
1995,Germany,Stone and Stone,Verliebt in Dich,Dich,Verliebt in  Stone and Stone,23.0,1.0
1996,Ireland,Eimear Quinn,The Voice,Voice,The  Eimear Quinn,1.0,162.0
1996,Norway,Elisabeth Andreasson,I evighet,evighet,I  Elisabeth Andreasson,2.0,114.0
1996,Sweden,One More Time,Den vilda,vilda,Den  One More Time,3.0,100.0
1996,Croatia,Maja Blagdan,Sveta ljubav,ljubav,Sveta  Maja Blagdan,4.0,98.0
1996,Estonia,Ivo Linna & Maarja-Liis Ilus,Kaelakee hääl,hääl,Kaelakee  Ivo Linna & Maarja-Liis Ilus,5.0,94.0
1996,Portugal,Lúcia Moniz,O meu ação não tem cor,cor,O meu ação não tem  Lúcia Moniz,6.0,92.0
1996,Netherlands,Maxine & Franklin Brown,De eerste keer,keer,De eerste  Maxine & Franklin Brown,7.0,78.0
1996,United Kingdom,Gina G,Ooh...Aah...Just A Little Bit,Bit,Ooh...Aah...Just A Little  Gina G,8.0,77.0
1996,Cyprus,Constantinos,Mono gia mas,mas,Mono gia  Constantinos,9.0,72.0
1996,Malta,Miriam Christine,In A Woman's Heart,Heart,In A Woman's  Miriam Christine,10.0,68.0
1996,Austria,George Nußbaumer,Weil's dr guat got,got,Weil's dr guat  George Nußbaumer,10.0,68.0
1996,Turkey,Şebnem Paker,Beşinci mevsim,mevsim,Beşinci  Şebnem Paker,12.0,57.0
1996,Iceland,Anna Mjöll,Sjúbídú,Sjúbídú, Anna Mjöll,13.0,51.0
1996,Greece,Marianna Efstratiou,Emis forame to himona anixiatika,anixiatika,Emis forame to himona  Marianna Efstratiou,14.0,36.0
1996,Poland,Kasia Kowalska,Chcę znać swój grzech,grzech,Chcę znać swój  Kasia Kowalska,15.0,31.0
1996,Switzerland,Cathy Leander,Mon cœur l'aime,l'aime,Mon cœur  Cathy Leander,16.0,22.0
1996,Belgium,Lisa del Bo,Liefde is een kaartspel,kaartspel,Liefde is een  Lisa del Bo,16.0,22.0
1996,Slovakia,Marcel Palonder,Kým nás máš,máš,Kým nás  Marcel Palonder,18.0,19.0
1996,France,Dan Ar Braz et l'Héritage des Celtes,Diwanit bugale,bugale,Diwanit  Dan Ar Braz et l'Héritage des Celtes,19.0,18.0
1996,Spain,Antonio Carbonell,"¡Ay, qué deseo!",deseo!,"¡Ay, qué  Antonio Carbonell",20.0,17.0
1996,Slovenia,Regina,Dan najlepših sanj,sanj,Dan najlepših  Regina,21.0,16.0
1996,Bosnia & Herzegovina,Amila Glamočak,Za našu ljubav,ljubav,Za našu  Amila Glamočak,22.0,13.0
1996,Finland,Jasmine,Niin kaunis on taivas,taivas,Niin kaunis on  Jasmine,23.0,9.0
1997,United Kingdom,Katrina and The Waves,Love Shine A Light,Light,Love Shine A  Katrina and The Waves,1.0,227.0
1997,Ireland,Marc Roberts,Mysterious Woman,Woman,Mysterious  Marc Roberts,2.0,157.0
1997,Turkey,Şebnem Paker & Etnic,Dinle,Dinle, Şebnem Paker & Etnic,3.0,121.0
1997,Italy,Jalisse,Fiumi di parole,parole,Fiumi di  Jalisse,4.0,114.0
1997,Cyprus,Chara and Andreas Konstantinou,Mana mou,mou,Mana  Chara and Andreas Konstantinou,5.0,98.0
1997,Spain,Marcos Llunas,Sin rencor,rencor,Sin  Marcos Llunas,6.0,96.0
1997,France,Fanny,Sentiments songes,songes,Sentiments  Fanny,7.0,95.0
1997,Estonia,Maarja-Liis Ilus,Keelatud maa,maa,Keelatud  Maarja-Liis Ilus,8.0,82.0
1997,Malta,Debbie Scerri,Let Me Fly,Fly,Let Me  Debbie Scerri,9.0,66.0
1997,Slovenia,Tanja Ribič,Zbudi se,se,Zbudi  Tanja Ribič,10.0,60.0
1997,Poland,Anna Maria Jopek,Ale jestem,jestem,Ale  Anna Maria Jopek,11.0,54.0
1997,Greece,Marianna Zorba,Horepse,Horepse, Marianna Zorba,12.0,39.0
1997,Hungary,VIP,"Miért kell, hogy elmenj?",elmenj?,"Miért kell, hogy  VIP",12.0,39.0
1997,Sweden,Blond,Bara hon älskar mig,mig,Bara hon älskar  Blond,14.0,36.0
1997,Russia,Alla Pugacheva,Primadonna,Primadonna, Alla Pugacheva,15.0,33.0
1997,Denmark,Kølig Kaj,Stemmen i mit liv,liv,Stemmen i mit  Kølig Kaj,16.0,25.0
1997,Croatia,ENI,Probudi me,me,Probudi  ENI,17.0,24.0
1997,Germany,Bianca Shomburg,Zeit,Zeit, Bianca Shomburg,18.0,22.0
1997,Bosnia & Herzegovina,Alma Čardžić,Goodbye,Goodbye, Alma Čardžić,18.0,22.0
1997,Iceland,Paul Oscar,Minn hinsti dans,dans,Minn hinsti  Paul Oscar,20.0,18.0
1997,Austria,Bettina Soriat,One Step,Step,One  Bettina Soriat,21.0,12.0
1997,Switzerland,Barbara Berta,Dentro di me,me,Dentro di  Barbara Berta,22.0,5.0
1997,Netherlands,Mrs. Einstein,Niemand heeft nog tijd,tijd,Niemand heeft nog  Mrs. Einstein,22.0,5.0
1997,Norway,Tor Endresen,San Francisco,Francisco,San  Tor Endresen,24.0,0.0
1997,Portugal,Célia Lawson,Antes do adeus,adeus,Antes do  Célia Lawson,24.0,0.0
1998,Israel,Dana International,Diva,Diva, Dana International,1.0,172.0
1998,United Kingdom,Imaani,Where Are You?,You?,Where Are  Imaani,2.0,166.0
1998,Malta,Chiara,The One That I Love,Love,The One That I  Chiara,3.0,165.0
1998,Netherlands,Edsilia Rombley,Hemel en aarde,aarde,Hemel en  Edsilia Rombley,4.0,150.0
1998,Croatia,Danijela,Neka mi ne svane,svane,Neka mi ne  Danijela,5.0,131.0
1998,Belgium,Mélanie Cohl,Dis oui,oui,Dis  Mélanie Cohl,6.0,122.0
1998,Germany,Guildo Horn,Guildo hat euch lieb,lieb,Guildo hat euch  Guildo Horn,7.0,86.0
1998,Norway,Lars A. Fredriksen,Alltid sommer,sommer,Alltid  Lars A. Fredriksen,8.0,79.0
1998,Ireland,Dawn,Is Always Over Now?,Now?,Is Always Over  Dawn,9.0,64.0
1998,Sweden,Jill Johnson,Kleken är,är,Kleken  Jill Johnson,10.0,53.0
1998,Cyprus,Michael Hajiyanni,Genesis,Genesis, Michael Hajiyanni,11.0,37.0
1998,Portugal,Alma Lusa,Se eu te pudesse abraçar,abraçar,Se eu te pudesse  Alma Lusa,12.0,36.0
1998,Estonia,Koit Toome,Mere lapsed,lapsed,Mere  Koit Toome,12.0,36.0
1998,Turkey,Tüzmen,Unutamazsın,Unutamazsın, Tüzmen,14.0,25.0
1998,Finland,Edea,Aava,Aava, Edea,15.0,22.0
1998,Spain,Mikel Herzog,¿Qué voy a hacer sin ti?,ti?,¿Qué voy a hacer sin  Mikel Herzog,16.0,21.0
1998,Poland,Sixteen,To takie proste,proste,To takie  Sixteen,17.0,19.0
1998,Slovenia,Vili Resnik,Naj bogovi slišijo,slišijo,Naj bogovi  Vili Resnik,18.0,17.0
1998,North Macedonia,Vlado Janevski,"Ne zori, zoro",zoro,"Ne zori,  Vlado Janevski",19.0,16.0
1998,Greece,Thalassa,Mia krifi evesthisia,evesthisia,Mia krifi  Thalassa,20.0,12.0
1998,Slovakia,Katarína Hasprová,Modlitba,Modlitba, Katarína Hasprová,21.0,8.0
1998,Romania,Mălina Olinescu,Eu cred,cred,Eu  Mălina Olinescu,22.0,6.0
1998,Hungary,Charlie,A holnap már nem lesz szomorú,szomorú,A holnap már nem lesz  Charlie,23.0,4.0
1998,France,Marie-Line,Où aller,aller,Où  Marie-Line,24.0,3.0
1998,Switzerland,Gunvor,Lass ihn,ihn,Lass  Gunvor,25.0,0.0
1999,Sweden,Charlotte Nilsson,Take Me To Your Heaven,Heaven,Take Me To Your  Charlotte Nilsson,1.0,163.0
1999,Iceland,Selma Björnsdóttir,All Out of Luck,Luck,All Out of  Selma Björnsdóttir,2.0,146.0
1999,Germany,Sürpriz,Reise nach Jerusalem – Kudüs'e seyahat,seyahat,Reise nach Jerusalem – Kudüs'e  Sürpriz,3.0,140.0
1999,Croatia,Doris Dragović,Marija Magdalena,Magdalena,Marija  Doris Dragović,4.0,118.0
1999,Israel,Eden,Yom Huledeth,Huledeth,Yom  Eden,5.0,93.0
1999,Estonia,Evelin Samuel & Camille,Diamond Of Night,Night,Diamond Of  Evelin Samuel & Camille,6.0,90.0
1999,Bosnia & Herzegovina,Dino & Beatrice,Putnici,Putnici, Dino & Beatrice,7.0,86.0
1999,Denmark,Trine Jepsen & Michael Teschl,This Time (I Mean It),It),This Time (I Mean  Trine Jepsen & Michael Teschl,8.0,71.0
1999,Netherlands,Marlayne,One Good Reason,Reason,One Good  Marlayne,8.0,71.0
1999,Austria,Bobbie Singer,Reflection,Reflection, Bobbie Singer,10.0,65.0
1999,Slovenia,Darja Švajger,For A Thousand Years,Years,For A Thousand  Darja Švajger,11.0,50.0
1999,Belgium,Venessa Chinitor,Like The Wind,Wind,Like The  Venessa Chinitor,12.0,38.0
1999,United Kingdom,Precious,Say It Again,Again,Say It  Precious,12.0,38.0
1999,Norway,Van Eijk,Living My Life Without You,You,Living My Life Without  Van Eijk,14.0,35.0
1999,Malta,Times Three,Believe 'n Peace,Peace,Believe 'n  Times Three,15.0,32.0
1999,Turkey,Tuba Önal & Mystik,Dön artık,artık,Dön  Tuba Önal & Mystik,16.0,21.0
1999,Ireland,The Mullan's,When You Need Me,Me,When You Need  The Mullan's,17.0,18.0
1999,Poland,Mietek Szczesniak,Przytul mnie mocno,mocno,Przytul mnie  Mietek Szczesniak,18.0,17.0
1999,France,Nayah,Je veux donner ma voix,voix,Je veux donner ma  Nayah,19.0,14.0
1999,Lithuania,Aistė,Strazdas,Strazdas, Aistė,20.0,13.0
1999,Portugal,Rui Bandeira,Como tudo começou,começou,Como tudo  Rui Bandeira,21.0,12.0
1999,Cyprus,Marlain,Tha'nai erotas,erotas,Tha'nai  Marlain,22.0,2.0
1999,Spain,Lydia,No quiero escuchar,escuchar,No quiero  Lydia,23.0,1.0
2000,Denmark,Olsen Brothers,Fly On The Wings Of Love,Love,Fly On The Wings Of  Olsen Brothers,1.0,195.0
2000,Russia,Alsou,Solo,Solo, Alsou,2.0,155.0
2000,Latvia,BrainStorm,My Star,Star,My  BrainStorm,3.0,136.0
2000,Estonia,Ines,Once In A Lifetime,Lifetime,Once In A  Ines,4.0,98.0
2000,Germany,Stefan Raab,Wadde hadde dudde da?,da?,Wadde hadde dudde  Stefan Raab,5.0,96.0
2000,Ireland,Eamonn Toal,Millennium Of Love,Love,Millennium Of  Eamonn Toal,6.0,92.0
2000,Sweden,Roger Pontare,When Spirits Are Calling My Name,Name,When Spirits Are Calling My  Roger Pontare,7.0,88.0
2000,Malta,Claudette Pace,Desire,Desire, Claudette Pace,8.0,73.0
2000,Croatia,Goran Karan,Kad zaspu anđeli,anđeli,Kad zaspu  Goran Karan,9.0,70.0
2000,Turkey,Pınar & The S.O.S.,Yorgunum anla,anla,Yorgunum  Pınar & The S.O.S.,10.0,59.0
2000,Norway,Charmed,My Heart Goes Boom,Boom,My Heart Goes  Charmed,11.0,57.0
2000,Iceland,August & Telma,Tell Me!,Me!,Tell  August & Telma,12.0,45.0
2000,Netherlands,Linda Wagenmakers,No Goodbyes,Goodbyes,No  Linda Wagenmakers,13.0,40.0
2000,Austria,The Rounder Girls,All To You,You,All To  The Rounder Girls,14.0,34.0
2000,North Macedonia,XXL,100% te ljubam,ljubam,100% te  XXL,15.0,29.0
2000,United Kingdom,Nicki French,Don't Play That Song Again,Again,Don't Play That Song  Nicki French,16.0,28.0
2000,Romania,Taxi,The Moon,Moon,The  Taxi,17.0,25.0
2000,Spain,Serafín Zubiri,Colgado de un sueño,sueño,Colgado de un  Serafín Zubiri,18.0,18.0
2000,Finland,Nina Åström,A Little Bit,Bit,A Little  Nina Åström,18.0,18.0
2000,Switzerland,Jane Bogaert,La vita cos'è?,cos'è?,La vita  Jane Bogaert,20.0,14.0
